epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.011,3.0078,3.6444,4.17475,0.00469,0.87705,0.08105,0.01917,2.35731,3.67909,3.92273,0.000547495,0.000547495,0.000547495
2,670.989,2.81982,3.38922,3.69297,0.01421,0.14754,0.02517,0.00713,2.78176,4.73485,3.71727,0.00109031,0.00109031,0.00109031
3,1003.1,2.53888,3.08344,3.25189,0.08311,0.17213,0.08244,0.02746,2.30248,5.75425,3.35004,0.00162019,0.00162019,0.00162019
4,1334.7,2.33027,2.85017,3.0167,0.07511,0.22951,0.05828,0.01994,2.01559,3.77824,3.30077,0.00160875,0.00160875,0.00160875
5,1666.91,2.06308,2.52535,2.74448,0.27032,0.34653,0.23237,0.11111,1.73223,2.62434,2.76428,0.00158934,0.00158934,0.00158934
6,1997.43,1.8662,2.31194,2.54077,0.42257,0.53279,0.43735,0.26679,1.32969,2.29691,2.11453,0.00156992,0.00156992,0.00156992
7,2328.7,1.67285,2.10234,2.34319,0.42041,0.5,0.39499,0.22924,1.45649,2.19937,2.38443,0.00155051,0.00155051,0.00155051
8,2659.49,1.55108,1.97306,2.20338,0.27233,0.47541,0.33659,0.19473,1.51281,2.61245,2.40728,0.00153109,0.00153109,0.00153109
9,2989.13,1.42835,1.79204,2.08989,0.45418,0.71284,0.52172,0.34903,1.24234,1.75833,2.01595,0.00151167,0.00151167,0.00151167
10,3319.89,1.37364,1.77122,2.03205,0.47618,0.77049,0.55711,0.3851,1.17854,1.57042,1.88902,0.00149226,0.00149226,0.00149226
11,3651.13,1.27544,1.64567,1.91571,0.31479,0.58197,0.4206,0.25201,1.48191,2.18516,2.26371,0.00147284,0.00147284,0.00147284
12,3982.94,1.18629,1.58139,1.8358,0.38268,0.60656,0.46348,0.29782,1.23265,1.97857,2.07174,0.00145343,0.00145343,0.00145343
13,4326.07,1.15589,1.52117,1.79958,0.45955,0.86066,0.60502,0.48826,0.80343,1.3863,1.3827,0.00143401,0.00143401,0.00143401
14,4676.39,1.08782,1.44192,1.71664,0.47708,0.84501,0.5614,0.45827,0.74529,1.31047,1.33291,0.0014146,0.0014146,0.0014146
15,5013.89,1.06344,1.42666,1.68877,0.49931,0.84426,0.56319,0.42917,0.87804,1.35753,1.41979,0.00139518,0.00139518,0.00139518
16,5345.27,0.99285,1.34628,1.62327,0.46794,0.90984,0.59831,0.48047,0.72226,1.15029,1.27217,0.00137577,0.00137577,0.00137577
17,5675.79,0.97245,1.3196,1.59499,0.44508,0.93299,0.60026,0.48638,0.70764,1.16138,1.2455,0.00135635,0.00135635,0.00135635
18,6007.27,0.98452,1.32163,1.60981,0.46464,0.92558,0.57052,0.48469,0.6052,1.15024,1.12529,0.00133693,0.00133693,0.00133693
19,6337.32,0.95193,1.30672,1.56973,0.51118,0.82787,0.59722,0.45912,0.87295,1.15967,1.45118,0.00131752,0.00131752,0.00131752
20,6666.88,0.89224,1.27013,1.51238,0.4991,0.87446,0.61472,0.51907,0.64124,1.1045,1.16694,0.0012981,0.0012981,0.0012981
21,6995.91,0.86744,1.2446,1.51995,0.45658,0.90984,0.61087,0.50762,0.64103,1.10674,1.13671,0.00127869,0.00127869,0.00127869
22,7325.36,0.87166,1.22376,1.51166,0.46244,0.81983,0.59509,0.46113,0.85577,1.19081,1.45651,0.00125927,0.00125927,0.00125927
23,7655.05,0.87031,1.22044,1.50718,0.48861,0.90984,0.60644,0.51802,0.55484,1.0236,1.03175,0.00123986,0.00123986,0.00123986
24,7984.18,0.8511,1.18801,1.49337,0.54425,0.86066,0.67999,0.57842,0.65159,0.99578,1.12773,0.00122044,0.00122044,0.00122044
25,8330.12,0.86426,1.17027,1.4972,0.66719,0.74975,0.79557,0.62916,0.82599,1.04557,1.38687,0.00120102,0.00120102,0.00120102
26,8676.81,0.81286,1.09975,1.45814,0.71629,0.70492,0.82056,0.69652,0.57119,0.88171,1.09054,0.00118161,0.00118161,0.00118161
27,9010.9,0.82597,1.07211,1.46396,0.66829,0.80774,0.79412,0.68127,0.61698,0.9812,1.08835,0.00116219,0.00116219,0.00116219
28,9343.3,0.80691,1.06383,1.44568,0.68118,0.82787,0.81866,0.70382,0.52168,0.92817,1.02727,0.00114278,0.00114278,0.00114278
29,9675.69,0.81031,1.03883,1.45586,0.738,0.84225,0.92382,0.80559,0.51344,0.78548,0.99958,0.00112336,0.00112336,0.00112336
30,10008.4,0.79011,0.99705,1.42227,0.85042,0.82956,0.92487,0.83387,0.49522,0.63353,0.96254,0.00110395,0.00110395,0.00110395
31,10339.3,0.76039,0.9739,1.4186,0.72717,0.84426,0.88569,0.76866,0.5212,0.73108,1.03673,0.00108453,0.00108453,0.00108453
32,10670.8,0.77921,0.96436,1.42281,0.7503,0.91803,0.93273,0.83249,0.49715,0.62919,0.98593,0.00106511,0.00106511,0.00106511
